File,param_LDA__solver,params,mean_test_score,std_test_score
D4SBI_S02_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5083333333333333,0.13378828631668602
D4SBI_S02_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5083333333333333,0.13378828631668602
D4SBI_S02_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5083333333333333,0.13378828631668602
D4SAI_S01_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5895833333333333,0.14495269822332466
D4SAI_S01_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5895833333333333,0.14495269822332466
D4SAI_S01_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5895833333333333,0.14495269822332466
D4SAI_S03_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.55,0.12541597452743677
D4SAI_S03_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.55,0.12541597452743677
D4SAI_S03_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.55,0.12541597452743677
D4SBI_S02_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5645833333333333,0.10267684608626339
D4SBI_S02_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5645833333333333,0.10267684608626339
D4SBI_S02_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5645833333333333,0.10267684608626339
D4SAI_S02_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5604166666666667,0.14832689592772969
D4SAI_S02_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5604166666666667,0.14832689592772969
D4SAI_S02_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5604166666666667,0.14832689592772969
D4SAI_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.47708333333333336,0.11911493632435673
D4SAI_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.47708333333333336,0.11911493632435673
D4SAI_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.47708333333333336,0.11911493632435673
D4SAI_S03_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5020833333333333,0.11120005120902098
D4SAI_S03_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5020833333333333,0.11120005120902098
D4SAI_S03_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5020833333333333,0.11120005120902098
D4SAI_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5708333333333333,0.11380416903123053
D4SAI_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5708333333333333,0.11380416903123053
D4SAI_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5708333333333333,0.11380416903123053
D4SAI_S02_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5479166666666667,0.11143399266930278
D4SAI_S02_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5479166666666667,0.11143399266930278
D4SAI_S02_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5479166666666667,0.11143399266930278
D4SBI_S02_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5520833333333334,0.11420391728054786
D4SBI_S02_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5520833333333334,0.11420391728054786
D4SBI_S02_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5520833333333334,0.11420391728054786
D4SAI_S02_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.44166666666666665,0.13300741416260306
D4SAI_S02_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.44166666666666665,0.13300741416260306
D4SAI_S02_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.44166666666666665,0.13300741416260306
D4SAI_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.45625,0.12619223100756505
D4SAI_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.45625,0.12619223100756505
D4SAI_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.45625,0.12619223100756505
D4SAI_S02_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5729166666666666,0.13795694275952752
D4SAI_S02_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5729166666666666,0.13795694275952752
D4SAI_S02_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5729166666666666,0.13795694275952752
D4SBI_S02_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5875,0.1136515141415488
D4SBI_S02_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5875,0.1136515141415488
D4SBI_S02_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5875,0.1136515141415488
D4SAI_S03_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.5708333333333333,0.0769424388025808
D4SAI_S03_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5708333333333333,0.0769424388025808
D4SAI_S03_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5708333333333333,0.0769424388025808
D4SAI_S03_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.54375,0.12619223100756505
D4SAI_S03_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.54375,0.12619223100756505
D4SAI_S03_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.54375,0.12619223100756505
